Country / territory,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
 France,"2,645,806","2,968,405","2,796,987","3,061,093","3,160,902","3,361,557","3,558,562","3,661,084","3,772,836","3,890,001","4,009,171"
 Gabon,"15,364","19,455","20,485","20,059","20,900","21,455","22,726","23,635","24,659","25,761","26,903"
 Gambia,"1,809","2,045","2,135","2,245","2,355","2,497","2,672","2,866","3,079","3,308","3,569"
 Georgia,"16,013","18,849","24,985","30,778","33,775","37,403","40,177","42,408","44,723","47,202","49,802"
 Germany,"3,938,244","4,358,147","4,204,327","4,563,523","4,684,182","5,013,574","5,328,184","5,498,618","5,674,354","5,848,295","6,013,749"
 Ghana,"70,008","79,514","73,919","80,547","82,825","111,963","113,494","117,237","121,933","128,129","135,908"
 Greece,"191,210","218,449","219,053","243,569","257,067","282,019","304,838","316,711","327,921","339,478","351,607"
 Grenada,"1,043","1,122","1,224","1,336","1,395","1,458","1,524","1,606","1,687","1,768","1,852"
 Guatemala,"77,718","86,443","95,642","104,354","113,190","120,850","129,466","139,473","150,202","161,821","174,485"
 Guinea,"14,089","16,320","19,589","22,089","24,229","27,515","30,922","34,486","38,499","43,225","47,778"
 Guinea-Bissau,"1,523","1,722","1,721","2,005","2,186","2,474","2,764","2,976","3,192","3,429","3,683"
 Guyana,"5,471","8,041","14,718","16,919","24,659","25,064","27,486","31,423","34,836","38,608","40,275"
 Haiti,"14,508","21,017","19,826","19,603","25,285","30,908","31,097","31,965","32,556","32,004","32,370"
 Honduras,"23,350","28,146","31,425","34,356","37,100","39,445","40,821","43,091","45,607","48,284","51,079"
 Hong Kong,"344,941","368,954","358,680","381,043","406,863","428,233","446,646","466,327","487,671","511,827","536,950"
 Hungary,"158,468","183,283","178,321","214,098","223,060","247,759","269,916","284,122","298,583","314,311","331,126"
 Iceland,"22,035","26,235","29,166","31,678","33,255","38,386","43,404","46,655","50,249","54,066","58,161"
 India,"2,674,852","3,167,271","3,346,107","3,638,490","3,909,892","4,125,213","4,505,629","4,958,953","5,461,673","6,015,999","6,627,982"
 Indonesia,"1,059,055","1,186,510","1,319,101","1,371,169","1,396,300","1,443,256","1,550,236","1,662,609","1,790,541","1,929,208","2,079,139"
 Iran,"209,510","307,337","403,254","421,547","416,676","356,513","375,644","416,433","454,404","482,125","511,317"
 Iraq,"182,576","210,753","288,059","270,799","278,771","265,455","273,912","288,758","306,064","325,568","345,909"
